GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Generic Sharding-Aware Repository Framework,com.telcobright.core.sql,SqlGeneratorFactory,130,0,24,0,38,0,27,0,12,0
Generic Sharding-Aware Repository Framework,com.telcobright.core.sql,SqlGeneratorFactory.DatabaseType,49,0,0,0,10,0,3,0,3,0
Generic Sharding-Aware Repository Framework,com.telcobright.core.sql,SqlGenerator.SortField,15,0,0,0,6,0,3,0,3,0
Generic Sharding-Aware Repository Framework,com.telcobright.core.sql,SqlGeneratorByEntityRegistry,1004,0,33,0,205,0,65,0,47,0
Generic Sharding-Aware Repository Framework,com.telcobright.core.sql,SqlStatementCache,119,8,6,0,24,2,16,1,13,1
Generic Sharding-Aware Repository Framework,com.telcobright.core.sql,SqlStatementCache.StatementType,63,0,0,0,11,0,1,0,1,0
Generic Sharding-Aware Repository Framework,com.telcobright.core.sql,BaseSqlGenerator,806,0,56,0,160,0,72,0,44,0
Generic Sharding-Aware Repository Framework,com.telcobright.core.sql,SqlStatementCache.CacheStatistics,26,0,0,0,6,0,2,0,2,0
Generic Sharding-Aware Repository Framework,com.telcobright.core.sql,SqlGenerator.SortDirection,15,0,0,0,2,0,1,0,1,0
Generic Sharding-Aware Repository Framework,com.telcobright.core.connection,ConnectionProvider.MaintenanceConnection,42,0,4,0,15,0,5,0,3,0
Generic Sharding-Aware Repository Framework,com.telcobright.core.connection,ConnectionProvider.Builder,5,57,3,3,1,15,3,7,0,7
Generic Sharding-Aware Repository Framework,com.telcobright.core.connection,ConnectionProvider,66,78,1,1,21,18,6,4,5,4
Generic Sharding-Aware Repository Framework,com.telcobright.core.connection,ConnectionProvider.MaintenanceInProgressException,4,0,0,0,2,0,1,0,1,0
Generic Sharding-Aware Repository Framework,com.telcobright.core.monitoring,MonitoringConfig,182,0,0,0,50,0,20,0,20,0
Generic Sharding-Aware Repository Framework,com.telcobright.core.monitoring,RepositoryMetrics,187,0,6,0,53,0,33,0,30,0
Generic Sharding-Aware Repository Framework,com.telcobright.core.monitoring,DefaultMonitoringService,1067,0,42,0,184,0,43,0,20,0
Generic Sharding-Aware Repository Framework,com.telcobright.core.monitoring,SimpleHttpMetricsServer,95,0,0,0,22,0,5,0,5,0
Generic Sharding-Aware Repository Framework,com.telcobright.core.monitoring,MonitoringConfig.DeliveryMethod,33,0,0,0,6,0,1,0,1,0
Generic Sharding-Aware Repository Framework,com.telcobright.core.monitoring,MetricsCollector,365,0,38,0,80,0,26,0,7,0
Generic Sharding-Aware Repository Framework,com.telcobright.core.monitoring,MonitoringConfig.Builder,206,0,24,0,63,0,32,0,19,0
Generic Sharding-Aware Repository Framework,com.telcobright.core.monitoring,MonitoringConfig.MetricFormat,21,0,0,0,4,0,1,0,1,0
